epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.5581,1.45274,3.6539,0.92917,0.00186,0.62138,0.00815,0.00272,1.1372,4.47483,0.93089,0.000645833,0.000645833,0.000645833
2,34.5169,1.22858,2.29102,0.94568,1,0.04736,0.1234,0.08303,1.1911,4.01968,0.90522,0.00128651,0.00128651,0.00128651
3,40.6313,1.2974,2.00995,0.93608,0.84189,0.05931,0.14429,0.07531,1.20793,3.754,0.98354,0.00190079,0.00190079,0.00190079
4,46.6515,1.18653,1.65434,0.92483,0.88603,0.69258,0.87397,0.59217,1.13016,2.216,0.92696,0.0018812,0.0018812,0.0018812
5,52.8492,1.22772,1.54316,0.93808,0.78967,0.74833,0.85181,0.44312,1.55114,1.84274,1.02683,0.0018416,0.0018416,0.0018416
6,58.7769,1.26551,1.38097,0.966,0.83675,0.85615,0.91681,0.59668,1.22446,1.26228,0.99798,0.001802,0.001802,0.001802
7,64.7853,1.18369,1.22374,0.93614,0.83071,0.85969,0.92378,0.67316,0.93476,1.09693,0.89542,0.0017624,0.0017624,0.0017624
8,70.7889,1.10549,1.09134,0.91799,0.80563,0.88622,0.90283,0.64402,0.97475,1.07041,0.90317,0.0017228,0.0017228,0.0017228
9,76.8364,1.09652,1.04302,0.90711,0.8477,0.86776,0.9194,0.67419,0.88589,0.97931,0.88176,0.0016832,0.0016832,0.0016832
10,82.8332,1.10024,0.99824,0.938,0.88149,0.89978,0.94182,0.67671,0.92857,0.9287,0.88942,0.0016436,0.0016436,0.0016436
11,88.8919,1.06411,0.95915,0.90477,0.88973,0.88419,0.95471,0.71053,0.89143,0.84014,0.88708,0.001604,0.001604,0.001604
12,94.8251,1.04182,0.89373,0.89905,0.8784,0.90869,0.95236,0.72017,0.89675,0.81786,0.88217,0.0015644,0.0015644,0.0015644
13,100.782,1.05334,0.86578,0.88258,0.89392,0.87751,0.94971,0.70491,0.94551,0.7631,0.89681,0.0015248,0.0015248,0.0015248
